movie_id,description,genre
tt12783454,"Elle Evans (Joey King) has finally completed high school and goes on a road trip for a week with Noah Flynn (Jacob Elordi), Lee Flynn (Joel Courtney), and Rachel (Meganne Young). Now Elle can finally decide what to do with her future. Unluckily enough, Elle got accepted into two schools: Harvard and Berkeley. While Noah got into Harvard and Lee into Berkeley, she has to lie to them saying that she's got wait-listed to not crush their feelings. They have unforgettable adventures such as camping, fishing, watching a shooting star, going to an aquarium, and watching the sunset. Although, Lee and Elle have a rule saying that ""they must always go to the same school as their bestie"", she decides to think about it later. They leave for San Francisco embarking amazing adventures together.

Unfortunately, their road trip comes to an end and Elle got a job as a waiter to get money for college, despite not knowing which one she'll go to. A few days later, Noah and Elle are at the Flynns' summer house and Noah asks an unexpected question about Harvard. He suggested if Elle gets off the wait list, they could go off campus and get an apartment together. Eventually, Lee ends up jumping off a balcony and drenching Noah and Elle with water. Then, Rachel comes and hands them some drinks. Elle is still ignoring both schools to buy some time. Noah and Elle leave and Lee and Rachel talk about their college plans.

Later that day, they have lunch with Mr and Mrs. Flynn. Lee mentions that they should go to their beach house but they sadly announce that they're planning to sell it. During this, Elle gets a call from the Berkeley administration. They want Elle's answer if she's would want to apply and she asks for a small extension but they give her until the next day to decide. Now, Elle needs to decide, whether she goes with Noah to Harvard or to Berkeley with Lee.

Now, Elle's family is playing UNO and her little Brad (Carson White) wins and dances in triumph. Her father (Stephen Jennings) mentions that he is going on a date with a lady called Linda (Bianca Amato). Elle doesn't seem very thrilled about it and ignores the whole situation.

It's the next day and Elle, Lee, Noah, and Rachel head down to the beach house to help the Flynns to sell it. They have a moment to remember what the beach house meant to them, and how much crazy adventures they had. During this, Rachel and Lee are in a room and Rachel accidentally removes the doorknob. Lee remembers when Elle and Lee were smaller, they used to pretend it was a diamond. Then, Lee takes Rachel's hand and puts the doorknob on her finger. They share a moment and join Elle and Noah looking at a photo of them when they were kids.

Elle and Lee are asked to start cleaning their playroom and they make two piles of the stuff they want to keep and the stuff they donate. They play with some of the stuff and most of the stuff goes to the things they want to keep. Then, Elle remembers that they had a beach bucket list of all the things they wanted to do before going to college.

We meet them and Mr and Mrs. Flynn on the balcony, discussing how it would take 2-3 months to get the house officially sold and Elle and Lee have a plan to persuade them. They ask Mr and Mrs. Flynn if they could stay at the beach house as it would be a real hassle for them to clean, take care of, and put together. The Flynns' parents are convinced and Elle gets a reminder about Berkeley and if she should apply or not. She calls to let them know that she turn the offer down. Then, she talks to Noah and said she going to Harvard. Noah gets excited and Lee immediately understood what had happened. Lee runs away to their playroom to put all the toys away and they have an argument about them going to different schools and how it would affect their friendship. She promises Lee that where ever they are they will stay and remain friends. Then, Elle comes up with this idea that could make their summer the best summer they'll ever have. They're going to complete the bucket list.

Elle goes back home and tells her father about staying at the beach house the whole summer. Her father agrees and Elle, Lee, Rachel, and Noah get settled in the beach house. Noah announces that he had invited some people to celebrate the last and best summer at the beach house. A lot of friends join such as the OMG girls (Bianco Bosch, Camilla Wolfson and Zandile Madliwa), Tuppen (Joshua Daniel Eady), and Ashton (Cameron Scott). Ashton had just finished his first year at Berkeley and Lee and Ashton get along very well which makes Elle very worried.

It's the next day and Elle wakes Lee up with an air horn. Elle shows Lee the bucket list she had made on her computer and they start away start doing the stuff on the bucket list.

Elle is now at work and Lee joins her. Her boss May (Daneel van der Walt) asks Elle if she could do extra shifts and Elle she doesn't feel comfortable with that but still agrees. Elle goes to a table and finds Marco (Taylor Zakhar Perez) with his family.

Back at the beach house, Chloe (Maisie Richardson-Sellers) calls Noah mentioning her family going to be in LA and Noah invites her to stay at the beach house.

Elle and Noah go out for a walk on the beach at night and Noah tells Elle that Chloe was going to be around and invited her to stay at the beach house. Elle doesn't seem to bother that much and invites him to the water park that Marco had invited Elle to. Noah isn't that happy about it and leaves. The next day, Lee and Elle try to convince Noah to wear a costume for their race day. Noah denies and Lee leaves very frustratedly.

Ashton and Lee hang out a lot more than Elle expected. Marco stops by the restaurant where Elle works and says that everything is settled for Elle and Lee's event.

Noah and Chloe hang out on her family's boat. They talk for a while and afterwards Chloe's parents argue in the background.

Elle eventually finishes work and gets a call from her dad explaining that Brad's babysitter had canceled and Elle had to take care of him. She promised Noah and Chloe that she'll hang out with them, so Elle got a little bit creative. She asks Brad if he'll like to join her at the beach house and agrees. Elle asks if he wanted to eat anything but said that Linda already made him someone food. Linda accidentally bumps into Elle making her clothes wet. Elle isn't very happy about Linda being around and dating her dad, so she leaves in a hurry.

Back at the beach house, Elle and Chloe play some games and Chloe mentions she should go pro as she is very good at video games but she denies it. Later on, Lee, Ashton, and Rachel come home and Lee explains that they went to a comic book show and went 80's mini golfing.

The next day Elle and her friends go to the water park and they compete in a Mario kart race. Numerous players get out and it's left with Noah and Marco in the lead. Marco wins and Noah isn't too happy about that. Noah and Elle argue about Marco. Later that day, Noah and Chloe play pool and talk about Marco. Chloe gets a message from her parents that they're getting a divorce. She tells Noah and tries not to make it a big deal.

Elle and Lee go to their favorite arcade and find a note on the DDR machine saying they would get rid of it.

Back at the restaurant, Lee and Elle are talking about how the DDR machine will be gone, so Lee added ""The last dance on the DDR machine"" to the bucket list. Elle is feeling very frustrated and overwhelmed about the bucket list, Harvard, and their friendship.

Elle goes to the beach house and finds Noah who made dinner for Elle to apologize for their last argument. Elle tells him that she is going with Lee for the bucket list but Noah isn't too thrilled about it so she walks away in tears. Later on, Elle, Lee, and all of their friends perform a flash mob in a restaurant. She gets a reminder and walks away from the restaurant and goes to the beach house.

The next morning, Noah is painting the doorway frame but Lee steps in and says that he shouldn't. Eventually, Noah walks away.

Elle, on the other hand, is picking up Brad from soccer but couldn't find him anywhere. Elle feels worried and goes home to find Brad. Brad is fine and tells Elle that Linda picked him up. Elle feels a little disappointed and angry about it. Back at work, Elle is feeling very frustrated. Chloe and Noah are on the beach talking about Elle. Chloe gets upset that Noah is giving up the same way her parents walk out of their marriage. Then, Elle and Marco have a small talk about her job, at Harvard, and her relationship with Noah and Lee.

Elle's about to finish work and someone enters. Then, she realizes it's Noah. They dance together and eventually make up. Then, Marco comes and sees through the window that Elle and Noah make amends. Marco feels disappointed and walks away.

The next day, Noah finds Elle's application letter from Berkeley. Elle calls Marco to apologize for last night. She explains what had happened and Marco understands but still feels a little disappointed. Noah tells Chloe about the letter at the Forth of July beach party. Marco shows up and Noah isn't okay with it. Elle and her friends play volleyball and Marco ends up punching Noah in the face because he assumes that he's still into Elle. Noah gives a dirty look at Marco and leaves. Elle is now very upset with Marco and pushes him away from her. Marco confesses his feelings for Elle but Elle rejects him.

That night, Elle's family, Rachel, Lee, and Lee's parents play Monopoly but Elle is still upset. Linda picks the dog piece but Elle takes it anyway. She explains that Linda can't replace her mother and walk into her life like that. Her father is very disappointed in Elle and walks away in fury.

Elle realizes where Noah could be and meets him at the Hollywood sign. They talk and Noah thinks that it's a good idea that they split up. Elle runs away devastated. And she realizes that she's too late to dance the last dance on the DDR machine. She finds Lee and they argue.

The next day, Chloe and Elle talk about Noah and Elle's relationship while Rachel overhears them. Rachel reconsiders her relationship with Lee. Elle and Mrs. Flynn talk about Elle's future and her choices. Rachel and Lee talk about their relationship and Rachel thinks they should break up too because of the distance. They end up in tears and hug each other.

At Elle's house, Elle apologizes to her father and Linda and explains to Linda that her mother used to always pick the dog piece. Linda understands and they make amends with each other. Then, she realizes what she's passionate about.

Everyone says their last goodbyes to each other. Elle explains how she got into Berkeley to Lee but she didn't want to crush their feelings and she decided to do what was best for her.

Elle roams around the beach house for the last time and remembers all the memories. Elle and Lee have their last talk and Lee leaves and takes the diamond doorknob with him.

Mrs. Flynn is about to finalize the deal but reconsiders and doesn't sell the beach house.

6 years later in LA, Elle and Lee are still in touch, Lee and Rachel got back together and got engaged and they quickly find out that people still do the kissing booth. Then, Noah appears and Elle and Noah reconcile and they stay in touch as well. And in the final shot, they ride their motorcycles together into the sun.",romance
tt1798632,"A young girl tries to understand how she mysteriously gained the power to set things on fire with her mind. After being experimented on by a secret government entity called The Shop, Andy McGee develops psychic powers and meets the love of his life. Together they have a daughter with a power of her own and The Shop will stop at nothing to get them back. In a flashback, baby Charlene ""Charlie"" McGee sits in her crib, spontaneously setting the room ablaze with her pyrokinesis power and sending her father Andrew ""Andy"" McGee into a panic. In another flashback, a young Andy and his girlfriend Victoria ""Vicky"" Tomlinson talk to a doctor in a clinical trial, who explains to them that they will be injected with the experimental chemical drug Lot, which secretly gives them supernatural powers Andy gains telepathy, and Vicky obtains telekinesis.In the present day, Charlie is sitting at the kitchen table after having a nightmare. Her parents join her and Charlie explains that she has been repressing something bad, her powers becoming more unstable. She unintentionally causes a ruckus at her school after exploding a bathroom stall due to anger at being bullied. Andy is shown using his power, ""the push"", to influence a client to stop smoking, although the strain causes his eyes to bleed.Meanwhile, in a secret facility, Captain Jane Hollister, leader of the Department of Scientific Intelligence DSI, is monitoring thermal signatures caused by Charlie's outbursts. She visits Doctor Joseph Wanless, creator of Lot and the resulting superhumans, who implores Hollister to terminate Charlie before her powers become uncontrollable. Hollister enlists fellow superhuman John Rainbird to assist her. Rainbird visits the McGee home, confronting Vicky, who attempts to counterattack with her repressed telekinetic powers. ",horror
tt9214832,"In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends. Jane Austen's beloved comedy about finding your equal and earning your happy ending, is reimagined in this. Handsome, clever, and rich, Emma Woodhouse is a restless queen bee without rivals in her sleepy little town. In this glittering satire of social class and the pain of growing up, Emma must adventure through misguided matches and romantic missteps to find the love that has been there all along. Miss Taylor's wedding to Mr Weston is a sad day for Mr Woodhouse, but they go to church nonetheless. Emma has orchestrated the match. After the wedding party with Miss and Mrs Bates, Mr Knightly shows up. Mr Frank Churchill, Mr Weston's son - does not. Miss Harriet Smith comes to visit and becomes Emma's new friend. Emma starts making a match for Harriet and Mr Elton, the vicar. Harriet looks to Emma for everything. Harriet is in love with Mr Robert Martin - a farmer, but Emma persuades her to refuse him. They spend more time with Mr Elton and Emma paints Harriet's picture. Mr Elton frames it in a cabinet. Winter brings Isabella and John Knightly, Emma's sister and Knightly's brother, with their 5 children. Harriet is sick over Christmas. The Knightly's, the Woodhouses and Mr Elton go to the Weston's for a dinner party, but as it starts to snow, they leave early. Emma is with Mr Elton, who confesses his love for her. She informs him she has no plans of matrimony. Emma must tell Harriet and she nearly throws the picture and its frame into the fire, but Emma keeps it. As Isabella leaves, Jane Fairfax - Miss Bates' niece, has come to stay. Frank and Jane were at Weymouth in October - the same month as Mr Weston's weather. Emma plays an old English folk tune with sheet music and Jane plays Mozart's sonata in F without. Harriet has an awkward encounter with the Martins. Frank Churchill has returned. They have a ball, where Jane and Knightly duet to 'Drink to me only with thine eyes'. Emma returns to church to find her pew has been taken by Mrs Agusta Elton. There is a public ball, where Mr Elton does not dance with miss Smith, but Knightly does. Knightly loves Emma and is about to profess it when Frank comes in with Harriet who has been attacked by gypsies. After a visit to Donwell, they go to Box Hill, where Emma insults Miss Bates. After being scolded by Mr Knightly, Emma apologises. Frank Churchill is engaged to Jane Fairfax. Harriet is in love with Knightly, but thinks Emma loves him, so they break off their friendship. Emma apologises to Mr Martin and Harriet is engaged to him. Her father is a tradesman from Bristol. Mr Knightly and Emma get married.",comedy
tt8522006,"Abby Holland (Kristen Stewart) and Harper Caldwell (Mackenzie Davis) are a couple who have been dating nearly a year. Abby dislikes Christmas since her parents passed away a few year earlier, so Harper spontaneously invites Abby to celebrate the holidays with her family in her hometown of Pittsburgh. Abby sees this as the perfect opportunity to introduce herself to Harper's parents and propose to her on Christmas morning. However, on their way to the Caldwells' house, Harper reveals she lied to Abby about coming out to her parents; fearing doing so would interfere with her father's campaign for mayor, she doesn't want to come out to her family until after Christmas. She asks Abby to pretend to be her straight roommate for the holiday, to which Abby reluctantly agrees.

At the Caldwells' house, Abby meets Harper's father, Ted (Victor Garber), her perfectionist mother, Tipper (Mary Streenburgen), and her wacky younger sister, Jane (Mary Holland). The family welcomes Abby as Harper's ""orphan friend"" who has nowhere else to go for Christmas. Abby quickly becomes uncomfortable, especially when she meets Harper's exes, boyfriend Connor (Jake McDorman) and girlfriend Riley (Aubrey Plaza). During the visit, she begins questioning how much she knows about her girlfriend when she sees Ted and Tipper's high expectations and Harper's competitive relationship with her older sister, Sloane (Alison Brie).

Meanwhile, Ted is trying to impress a possible donor from the city council to contribute to his campaign, which Abby unwillingly jeopardizes when Sloane's children put an unpaid necklace into her bag at the mall and she is caught with it. Believing she is a shoplifter, Ted and Tipper think it might be better if they keep Abby away from upcoming social events. From this point, Abby feels even more like an outsider. She also learns from Riley that Harper denied her sexuality ever since she was a high school freshman during their romantic time together, which makes Abby more worried about the future of their relationship.

At the Caldwells' annual Christmas Eve party, Abby, having grown tired of her current situation, is relieved when her friend John (Daniel Levy) arrives unannounced to pick her up. Harper privately begs Abby to stay and as they are about to kiss, they are caught by Sloane who prepares to expose their relationship to the family. However, it turns out, Sloane has a secret of her own: she and her husband, Eric (Burl Moseley), are getting a divorce. The sisters get into a public fight, ruining the party. Sloane reveals in front of the guests that Harper is a lesbian and in a relationship with Abby..... which Harper denies immediately. Heartbroken by this, Abby leaves the house. John follows Abby outside, where the two talk about their stories of coming out to their respective families: Abby's parents were loving and accepting, while John's bigoted and homophobic father threw him out of the house and publicly disowned him forever. John reminds her that coming out can be terrifying for gay people, but has nothing to do with Harper's love for her.

After realizing that her fear of rejection by her parents caused her to hurt Riley and will cause her to lose Abby, Harper finally tells the truth to her parents, confirming that she is a lesbian. Predictably, both Ted and Tipper do not react well to this news. This inspires Sloane to reveal her own secret that she and her husband are getting divorced, and even Jane tells her parents how neglected she felt throughout the years. Harper goes after Abby to apologize, confessing that she truly loves her and wants to build a life with her. Touched by her words, Abby forgives her and they share a long and passionate kiss.

Ted apologizes to his daughters for making them feel they always had to be perfect. Then he gets a phone call from the donor he's been trying to impress, who will support him only if Harper stays quiet about her personal life. Ted rejects the offer. The Caldwells then take a family picture, with Abby included this time.

One year later, Abby and Harper are now engaged, Jane has become a bestselling author with her fantasy novel, 'The Shadow Dreamers', and Ted has won the mayoral election. On Christmas Eve, the family goes to the local retro cinema to watch 'It's a Wonderful Life'. As the movie starts, Abby and Harper smile at each other lovingly.",romance
tt21249656,"Olga and Maks are 15 years apart. She is a successful woman with an established position, mother of a young adult woman, he is a handsome young man devoted to enjoy life. Fate chooses them to meet, but it also tests their relationship. Olga and Maks are 15 years away. She is a successful woman with an established position, the mother of an adult daughter, he is a handsome young man who enjoys his life in a handful and lives only in the moment. It might seem that these two different worlds will never meet, and yet fate put them in the way. Maks, a very attractive Italian man working in Poland in high adrenaline sports, starts a relationship with Olga, a female judge, 15 years older than him, and who happens to coincidentally be the mother of his young adult girlfriend, Maja. Initially Maks plans on manipulating her to help with his best friend's court case while being unaware of her relationship with Maja, but the eventual connection between the young man and the judge is possibly more than just physical attraction for lonely Olga or a scam for adventurous Maks. Olga and Maja have been estranged since she became a widow. As Maja finds about the affair, she plans to break them up. Will Maks break both of their hearts by going to Brazil with his friend or choose between both women?",romance
tt7149730,"A reformed hunter living in isolation on a wildlife sanctuary becomes involved in a deadly game of cat and mouse when he and the local Sheriff set out to track a vicious killer who may have kidnapped his daughter years ago. A reformed hunter now living secluded in a wildlife sanctuary after the disappearance of his teen daughter years ago saves a young girl from being killed by a serial killer but gets caught in a deadly catandmouse game. His path crosses with the town's sheriff who also seeks to bring the serial killer to justice after the discovery of the body of a teenaged girl. The movie opens with an dead person in brightly colored clothing floating down whitewater rapids.Elsewhere, we see a pair of hunters about to shoot a deer. Rayburn Swanson Nikolaj CosterWaldau stops them, and confiscates their weapons, and indicates that they're trespassing in a sanctuary. The hunters seem to know him, and their conversation indicates that Rayburn used to be a hunter himself. ""People change,"" he says to them. ""No they don't,"" one of them replies.Rayburn goes home to his dog, Thor. He owns surveillance equipment monitoring the sanctuary.We meet Sheriff Alice Gustafson Annabelle Wallis. She picks her brother, Brooks Hero Fiennes Tiffin from Karl Blackhawk Zahn McClarnon, Sheriff of the local tribal police, who found him at the Factory, implied to be a seedy location. Brooks looks to have been in an altercation, but refuses to tell Blackhawk what happened at the Factory.As Alice drives Brooks home, he confesses that he was involved in a fight with Sam Moonblood over ""a woman"". He says Sam and someone named Olson are involved in all sorts of bad things. Brooks expresses discomfort as they drive past a barn. Alice is called into a possible homicide investigation.Rayburn entertains a school field trip while slightly intoxicated. He explains that he manages a  square mile sanctuary. One of the kids mention how Rayburn used to be a prolific hunter. He says he has left that life behind because his daughter didn't like him doing it.Alice and the local cops investigate a young girl's body that's washed ashore. A forensic officer says the body was probably dumped in the water postmortem, about a week prior. The body has a vertical scar on the throat area. The cops find an spearhead embedded in a nearby tree and think the girl may have been hunted for sport.",action
tt14960572,"When her soon-to-be-married little sister and fiancÃƒÂƒÃ‚Â© become marooned at a mountain retreat days before their wedding, Amelia and the best man, Grayson Tanner, are tasked with stepping in to save the wedding.
Amelia Hart is a florist who does celebrity weddings in the United States, but she dreams of owning a flower shop. Her sister Bonnie is about to be married in Australia, and Amelia is the maid of honor. Unfortunately, Bonnie and her fiancÃƒÂƒÃ‚Â© Jake get marooned at a retreat days before the wedding. This means that Amelia and the best man, Grayson Tanner, have to take care of all the wedding preparations. Grayson works as a veterinarian in Australia. At first, Amelia and Grayson don't get along. However, while choosing entertainment, making floral arrangements, taking dance lessons, hanging out together, and talking about their lives, the two start falling for each other. The problem is that Amelia has to go back to her job in the US when the wedding is over, making a future with Grayson unlikely.",romance
tt3876910,"A reformed sociopath journeys to a remote island to investigate the mystery behind his brother's demise, but soon ends up facing off with more than he bargained for. Ex-con and reformed sociopath Dylan Forrester is trying to quietly serve out his parole, with the help of a steady supply of antidepressants from his eccentric psychiatrist. However, when his brother dies under mysterious circumstances, Dylan breaks parole. With a determined FBI agent on his trail, Dylan goes to uncover the truth. Meanwhile, a band of armed mercenaries wants something Dylan's brother was hiding, and Dylan will need all his cunning and tactical skills to survive. Dylan Forrester, a psychopath and former assassin, is suppressing his instincts through depressant drugs supervised by Dr. Alderwood. He dodges his parole to travel to Guardian Island, an Island owned by his family, to reconcile after the sudden death of his brother, Sean. His mother, Linda Forrester, despises him for his true nature and encourages him to leave. Meanwhile, Agent Shaughnessy is trying to track Dylan down for dodging his parole believing he's too dangerous. Sheriff McCoy, Guardian Island's Sheriff discovers Dylan is a wanted fugitive and arrests him and locks him in the island's bunker.A fixer named Cole lands on the island with his crew of mercenaries and kills Sheriff McCoy. A hotel employee named Jo hears the attack and teams up with Dylan to escape, letting him go. When Cole's crew raid the house, one of his crew is knocked out by Dylan after calling the crew informing them Dylan escaped. The crew leave the house to search for Dylan. Dylan returns to the house and helps his family protect themselves. Dylan kills two of Cole's crew and has suspicions that Sean was hiding something in the house that led Cole to the island. Cole claims that nobody on the island is of importance to him and that he only wants what's on the island. Dylan and the survivors find a secret passage set up by Sean. Dylan realizes that Sean partnered with Cole to buy the island believing something valuable is there. The family enters the passage and discovers a Japanese submarine containing Yamashita gold stolen during World War 2.Cole's mercenaries find the secret lair and a shootout begins; Massey and Dylan fight back against the mercenaries using one of the submarine's deck guns. Cole holds Linda at gunpoint and forces Dylan to help him steal the gold. Massey tries to shoot Cole with the deck gun but Cole kills him instead. Dylan refuses Cole and throws the gold he tried to steal into the water. They are ambushed by Agent Shaughnessy, who's shot and wounded by Cole. Cole tries to throw Linda into the water and she's left hanging from a platform. ",action
tt12064810,"A veteran hospital is taken by terrorists while Jason, a decorated veteran with PTSD, is seeing a shrink there. His daughter, wife, a Joint Chiefs of Staff general and others are there. Jason's their only hope. Decorated veteran and PTSD sufferer, Jason Hill (Flanery) meets his wife, Jennifer, for lunch at the Veteran's Affairs hospital where she works. After Jennifer is called away for an emergency consultation with the head of US Military's Joint Chiefs of Staff, the hospital is taken hostage by heavily armed terrorists. Jason becomes the last line of defense and must battle the terrorists and his own PTSD induced demons to save his wife, the General, the hospital's staff and patients. Jason Hill, decorated veteran and PTSD sufferer, meets his wife, Jennifer, for lunch at the Veteran's Affairs hospital where she works. After Jennifer is called away for an emergency consultation with the head of US Military's Joint Chiefs of Staff, the hospital and everyone in it are taken hostage by heavily armed terrorists. Jason becomes the last line of defense and must battle the terrorists and his own PTSD induced demons to save his wife, the General, the hospital's staff and patients.",action
tt2763304,"After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud, and Begbie. First there was an opportunity......then there was a betrayal. Twenty years have gone by. Much has changed but just as much remains the same. Mark Renton (Ewan McGregor) returns to the only place he can ever call home. They are waiting for him: Spud (Ewen Bremner), Sick Boy (Jonny Lee Miller), and Begbie (Robert Carlyle). Other old friends are waiting too: sorrow, loss, joy, vengeance, hatred, friendship, love, longing, fear, regret, diamorphine, self-destruction and mortal danger, they are all lined up to welcome him, ready to join the dance. 20 years after betraying his friends and running off with (almost) all the money from a scam, Mark Renton is back in Edinburgh. It is his first time back since the events that split him, Spud and Simon apart. He looks up Spud and Simon but their lives are hardly much better than when he last saw them. Spud, after getting his life together, has seen it all unravel, to the point that he is suicidal. Simon is running his father's loss-making pub, in between bouts of blackmail. Meanwhile, the fourth person in their caper of 20 years' ago, the psychotically intense Begbie, is in jail. He has no intention of staying incarcerated and revenge is foremost on his mind.",comedy
